1|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
2|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
3|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
4|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
5|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
6|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
7|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
8|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
9|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
10|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
11|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
12|01/01/2020 00:00:00(5,4,2,6)|01/01/2021 00:00:00(12,24,2,4)|01/01/2022 00:00:00(13,4,4,3)|01/01/2023 00:00:00(0,0,3,0)|[END]
